Graphene sheet in zig-zag direction

8948 atoms 

1 atom types 

#simulation box 
-1.302486 149.278486 xlo xhi
-0.698000 151.819000 ylo yhi
-100.000000 100.000000 zlo zhi

Masses

1 12.000000 

Atoms

1 1 0.008147 0.009058 0.001270 
2 1 -0.688866 1.215294 0.000975 
3 1 1.398785 0.005469 0.009575 
4 1 2.103649 1.210546 0.009706 
5 1 4.197572 0.004854 0.008003 
6 1 3.491419 1.213188 0.009157 
7 1 5.591922 0.009595 0.006557 
8 1 6.282357 1.217461 0.009340 
9 1 8.382787 0.007577 0.007431 
10 1 7.681922 1.215525 0.001712 
11 1 9.779060 0.000318 0.002769 
12 1 10.470462 1.209941 0.008235 
13 1 12.570948 0.003171 0.009502 
14 1 11.866344 1.213357 0.003816 
15 1 13.967655 0.007952 0.001869 
16 1 14.662898 1.213426 0.006463 
17 1 16.759094 0.007547 0.002760 
18 1 16.060797 1.215521 0.001626 
19 1 18.149190 0.004984 0.009597 
20 1 18.849404 1.214823 0.002238 
21 1 20.947513 0.002551 0.005060 
22 1 20.248991 1.217879 0.009593 
23 1 22.341472 0.001386 0.001493 
24 1 23.036575 1.217377 0.002543 
25 1 25.136143 0.002435 0.009293 
26 1 24.433500 1.210936 0.002511 
27 1 26.530160 0.004733 0.003517 
28 1 27.230308 1.214823 0.005497 
29 1 29.325172 0.002858 0.007572 
30 1 28.625537 1.212774 0.005678 
31 1 30.712759 0.000540 0.005308 
32 1 31.417792 1.218310 0.001299 
33 1 33.509688 0.004694 0.000119 
34 1 32.809371 1.210592 0.007943 
35 1 34.903112 0.005285 0.001656 
36 1 35.604020 1.211600 0.006541 
37 1 37.698892 0.007482 0.004505 
38 1 36.994838 1.211260 0.009133 
39 1 39.089524 0.008258 0.005383 
40 1 39.795961 1.209752 0.004427 
41 1 41.881067 0.009619 0.000046 
42 1 41.189749 1.217143 0.008687 
43 1 43.276844 0.003998 0.002599 
44 1 43.982001 1.213284 0.009106 
45 1 46.069818 0.002638 0.001455 
46 1 45.371361 1.217663 0.005797 
47 1 47.469499 0.001450 0.008530 
48 1 48.168221 1.212480 0.005132 
49 1 50.260018 0.000760 0.002399 
50 1 49.559233 1.210809 0.002400 
51 1 51.656173 0.000497 0.009027 
52 1 52.359448 1.213879 0.004893 
53 1 54.447377 0.009001 0.003692 
54 1 53.747112 1.216773 0.003897 
55 1 55.842417 0.004039 0.000965 
56 1 56.539320 1.218391 0.009561 
57 1 58.637752 0.000598 0.002348 
58 1 57.937532 1.217182 0.000154 
59 1 60.028430 0.001690 0.006491 
60 1 60.733317 1.215447 0.004509 
61 1 62.825470 0.002963 0.007447 
62 1 62.123890 1.215838 0.001835 
63 1 64.219685 0.006256 0.007802 
64 1 64.914811 1.218264 0.007757 
65 1 67.012868 0.004359 0.004468 
66 1 66.313063 1.214055 0.005108 
67 1 68.412176 0.007948 0.006443 
68 1 69.105786 1.217086 0.005328 
69 1 71.199507 0.009390 0.008759 
70 1 70.503502 1.215195 0.005870 
71 1 72.594077 0.003012 0.004709 
72 1 73.292305 1.217413 0.001948 
73 1 75.386259 0.001707 0.002277 
74 1 74.690357 1.212081 0.009234 
75 1 76.784302 0.001848 0.009049 
76 1 77.487797 1.213359 0.001111 
77 1 79.574581 0.004087 0.005949 
78 1 78.876622 1.214998 0.007112 
79 1 80.970217 0.001174 0.002967 
80 1 81.669188 1.213212 0.005079 
81 1 83.760855 0.002625 0.008010 
82 1 83.062292 1.218259 0.007303 
83 1 85.160886 0.005785 0.002373 
84 1 85.858588 1.218601 0.005468 
85 1 87.953211 0.002316 0.004889 
86 1 87.256241 1.215761 0.003955 
87 1 89.347674 0.009880 0.000377 
88 1 90.050852 1.218103 0.007962 
89 1 92.136987 0.002619 0.003354 
90 1 91.444797 1.210336 0.007212 
91 1 93.533068 0.006538 0.004942 
92 1 94.237791 1.216120 0.009037 
93 1 96.332909 0.003342 0.006987 
94 1 95.627978 1.209275 0.007441 
95 1 97.725000 0.004799 0.009047 
96 1 98.424099 1.215147 0.008594 
97 1 100.520055 0.005767 0.001829 
98 1 99.816399 1.217835 0.000287 
99 1 101.912899 0.001679 0.009787 
100 1 102.613127 1.213975 0.004711 
101 1 104.700596 0.006820 0.000424 
102 1 104.002714 1.214186 0.000967 
103 1 106.104181 0.008175 0.007224 
104 1 106.795499 1.215566 0.005186 
105 1 108.897730 0.006490 0.008003 
106 1 108.194538 1.213294 0.008253 
107 1 110.284835 0.001332 0.001734 
108 1 110.985909 1.217284 0.008034 
109 1 113.076605 0.003993 0.005269 
110 1 112.382168 1.215539 0.006280 
111 1 114.474920 0.004317 0.000155 
112 1 115.179841 1.210642 0.001062 
113 1 117.267724 0.001981 0.004897 
114 1 116.569395 1.218486 0.009203 
115 1 118.660527 0.007379 0.002691 
